Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score
108,200,0.6,1.5,1.5,10.0,0.095633989168471,9.563398916847106,23.0,2300.0,156.52173913043478,1.8,45.0,2.9250000000000003,0.28,21.0,0.6381571233144422
109,200,1.0,0.5,0.5,2.5,0.0329337276150221,3.2933727615022104,6.0,600.0,600.0,2.1,35.0,2.975,0.31,31.0,0.6282428669142076
110,200,1.0,0.5,0.5,5.0,0.038745561900026,3.874556190002601,11.0,1100.0,327.27272727272725,1.3,35.0,2.975,0.23,11.0,0.8370663963259724
111,200,1.0,0.5,0.5,10.0,0.038745561900026,3.874556190002601,21.0,2100.0,171.42857142857142,1.3,35.0,2.975,0.23,11.0,0.8370663963259724
112,200,1.0,0.5,1.0,2.5,0.0529090431521576,5.290904315215764,6.5,650.0,553.8461538461538,1.95,42.5,2.9875,0.29500000000000004,28.0,0.6655236222395934
113,200,1.0,0.5,1.0,5.0,0.0622459331201854,6.224593312018547,11.5,1150.0,313.0434782608696,1.15,42.5,2.9875,0.21500000000000002,8.0,0.8743471516513579
114,200,1.0,0.5,1.0,10.0,0.0622459331201854,6.224593312018547,21.5,2150.0,167.4418604651163,1.15,42.5,2.9875,0.21500000000000002,8.0,0.8743471516513579
115,200,1.0,0.5,1.5,2.5,0.0555544953097655,5.555449530976553,7.0,700.0,514.2857142857143,2.1,50.0,2.975,0.31,31.0,0.6003358901700215
116,200,1.0,0.5,1.5,5.0,0.0653582297761947,6.535822977619474,12.0,1200.0,300.0,1.3,50.0,2.975,0.23,11.0,0.8091594195817863
117,200,1.0,0.5,1.5,10.0,0.0653582297761947,6.535822977619474,22.0,2200.0,163.63636363636363,1.3,50.0,2.975,0.23,11.0,0.8091594195817863
118,200,1.0,1.0,0.5,2.5,0.0529090431521576,5.290904315215764,6.5,650.0,553.8461538461538,1.95,42.5,2.9875,0.29500000000000004,28.0,0.6655236222395934
119,200,1.0,1.0,0.5,5.0,0.0622459331201854,6.224593312018547,11.5,1150.0,313.0434782608696,1.15,42.5,2.9875,0.21500000000000002,8.0,0.8743471516513579
120,200,1.0,1.0,0.5,10.0,0.0622459331201854,6.224593312018547,21.5,2150.0,167.4418604651163,1.15,42.5,2.9875,0.21500000000000002,8.0,0.8743471516513579
121,200,1.0,1.0,1.0,2.5,0.085,8.5,7.0,700.0,514.2857142857143,1.8,50.0,3.0,0.28,25.0,0.7028043775649795
122,200,1.0,1.0,1.0,5.0,0.1,10.0,12.0,1200.0,300.0,1.0,50.0,3.0,0.2,5.0,0.9116279069767442
123,200,1.0,1.0,1.0,10.0,0.1,10.0,22.0,2200.0,163.63636363636363,1.0,50.0,3.0,0.2,5.0,0.9116279069767442
124,200,1.0,1.0,1.5,2.5,0.08925,8.925,7.5,750.0,480.0,1.95,57.5,2.9875,0.29500000000000004,28.0,0.6376166454954073
125,200,1.0,1.0,1.5,5.0,0.105,10.500000000000002,12.5,1250.0,288.0,1.15,57.5,2.9875,0.21500000000000002,8.0,0.8464401749071719
126,200,1.0,1.0,1.5,10.0,0.105,10.500000000000002,22.5,2250.0,160.0,1.15,57.5,2.9875,0.21500000000000002,8.0,0.8464401749071719
127,200,1.0,1.5,0.5,2.5,0.0555544953097655,5.555449530976553,7.0,700.0,514.2857142857143,2.1,50.0,2.975,0.31,31.0,0.6003358901700215
128,200,1.0,1.5,0.5,5.0,0.0653582297761947,6.535822977619474,12.0,1200.0,300.0,1.3,50.0,2.975,0.23,11.0,0.8091594195817863
